id,detailed_type,categ_id,default_code,name,sale_ok,purchase_ok,uom_id,uom_po_id,route_ids
setup.product_template.0190,product,Components / Labels,CLA572,Labels Genius BCAA Grape LBCAGRL0619F,0,1,Units,Units,Buy
setup.product_template.0191,product,Components / Labels,CLA577,Labels Genius BCAA Power Orange LBCAORG0619F,0,1,Units,Units,Buy
setup.product_template.0192,product,Components / Labels,CLA581,Labels Genius Beauty LBTY0619F,0,1,Units,Units,Buy
setup.product_template.0193,product,Components / Labels,CLA582,Labels Genius Blood Sugar Support LBS0819F,0,1,Units,Units,Buy
setup.product_template.0194,product,Components / Labels,CLA585,Labels Genius Burn LBRN0121,0,1,Units,Units,Buy
setup.product_template.0195,product,Components / Labels,CLA589,Labels Genius Caffeine LCAF0619F,0,1,Units,Units,Buy
setup.product_template.0196,product,Components / Labels,CLA593,Labels Genius Consciousness Mango  BCONMAN1019F,0,1,Units,Units,Buy
setup.product_template.0197,product,Components / Labels,CLA595,Labels Genius Consciousness WM LCONWMI0619F,0,1,Units,Units,Buy
setup.product_template.0198,product,Components / Labels,CLA597,Labels Genius Creatine Apple,0,1,Units,Units,Buy
setup.product_template.0199,product,Components / Labels,CLA599,Labels Genius Creatine Unflavored LCREUNF0619F,0,1,Units,Units,Buy
setup.product_template.0200,product,Components / Labels,CLA601,Labels Genius Diet LDTP0619F,0,1,Units,Units,Buy
setup.product_template.0201,product,Components / Labels,CLA604,Labels Genius Digestive LDGO0619F,0,1,Units,Units,Buy
setup.product_template.0202,product,Components / Labels,CLA605,Labels Genius Electrolytes Orange Fizz 30 serv LELCORF0619F,0,1,Units,Units,Buy
setup.product_template.0203,product,Components / Labels,CLA606,Labels Genius Electrolytes Lemon Lime LELCLEM1019F,0,1,Units,Units,Buy
setup.product_template.0204,product,Components / Labels,CLA609,Labels Genius Estrogen Balance LESB0619F,0,1,Units,Units,Buy
setup.product_template.0205,product,Components / Labels,CLA610,Labels Genius Eternal,0,1,Units,Units,Buy
setup.product_template.0206,product,Components / Labels,CLA612,Labels Genius Gamer LGMR0619F,0,1,Units,Units,Buy
setup.product_template.0207,product,Components / Labels,CLA616,Labels Genius Heart LHRT0619F,0,1,Units,Units,Buy
setup.product_template.0208,product,Components / Labels,CLA621,Labels Genius Joy LJOY0619F,0,1,Units,Units,Buy
setup.product_template.0209,product,Components / Labels,CLA626,Labels Genius Matcha LMTC0420,0,1,Units,Units,Buy
setup.product_template.0210,product,Components / Labels,CLA627,Labels Genius Mindfulness LMDF0619F,0,1,Units,Units,Buy
setup.product_template.0211,product,Components / Labels,CLA630,Labels Genius Muscle Builder LMUBSVC0619F,0,1,Units,Units,Buy
setup.product_template.0212,product,Components / Labels,CLA632,Labels Genius Mushroom LMUS0221 90ct,0,1,Units,Units,Buy
setup.product_template.0213,product,Components / Labels,CLA635,Labels Genius Nootropic Greens LGRN040F,0,1,Units,Units,Buy
setup.product_template.0214,product,Components / Labels,CLA638,Labels Genius Pre Blue Raspberry,0,1,Units,Units,Buy
setup.product_template.0215,product,Components / Labels,CLA639,Labels Genius Pre Grape Limeade LPREGRL0619F,0,1,Units,Units,Buy
setup.product_template.0216,product,Components / Labels,CLA645,Labels Genius Pro GT LPGT0619F,0,1,Units,Units,Buy
setup.product_template.0217,product,Components / Labels,CLA650,Labels Genius Protein v2 Chocolate-LPROCHC0121,0,1,Units,Units,Buy
setup.product_template.0218,product,Components / Labels,CLA651,Labels Genius Protein v2 Vanilla-LPROVAN0121,0,1,Units,Units,Buy
setup.product_template.0219,product,Components / Labels,CLA654,Labels Genius Sleep Aid LSLA0321,0,1,Units,Units,Buy
setup.product_template.0220,product,Components / Labels,CLA657,Labels Genius Test LTST0619F,0,1,Units,Units,Buy
setup.product_template.0221,product,Components / Labels,CLA660,Labels Genius Vegan Protein Chocolate LVPRCHO0619F,0,1,Units,Units,Buy
setup.product_template.0222,product,Components / Labels,CLA701,Labels Healthy Habits Beta Glucan,0,1,Units,Units,Buy
setup.product_template.0223,product,Components / Labels,CLA728,Labels Intestinal Fortitude AI-5,0,1,Units,Units,Buy
setup.product_template.0224,product,Components / Labels,CLA729,Labels Intestinal Fortitude GLR-6 Gut Lining Repair mucosal,0,1,Units,Units,Buy
setup.product_template.0225,product,Components / Labels,CLA730,Labels Intestinal Fortitude Glutamine,0,1,Units,Units,Buy
setup.product_template.0226,product,Components / Labels,CLA737,Labels Jacked Factory Androsurge 60ct,0,1,Units,Units,Buy
setup.product_template.0227,product,Components / Labels,CLA738,Labels Jacked Factory Build PM,0,1,Units,Units,Buy
setup.product_template.0228,product,Components / Labels,CLA739,Labels J Factory Build XT 60ct,0,1,Units,Units,Buy
setup.product_template.0229,product,Components / Labels,CLA740,Labels Jacked Factory Burn XT 60 CT,0,1,Units,Units,Buy
setup.product_template.0230,product,Components / Labels,CLA741,Labels Jacked Factory Burn XT 120 ct,0,1,Units,Units,Buy
setup.product_template.0231,product,Components / Labels,CLA742,Labels Jacked Factory Burn XT Black,0,1,Units,Units,Buy
setup.product_template.0232,product,Components / Labels,CLA743,Labels Jacked Factory Creatine Unflavored,0,1,Units,Units,Buy
setup.product_template.0233,product,Components / Labels,CLA744,Labels Jacked Factory Lean PM 120ct,0,1,Units,Units,Buy
setup.product_template.0234,product,Components / Labels,CLA745,Labels Jacked Factory Lean PM 60ct,0,1,Units,Units,Buy
